Column1;dissimilarity_0;dissimilarity_45;dissimilarity_90;dissimilarity_135;correlation_0;correlation_45;correlation_90;correlation_135;homogeneity_0;homogeneity_45;homogeneity_90;homogeneity_135;contrast_0;contrast_45;contrast_90;contrast_135;ASM_0;ASM_45;ASM_90;ASM_135;energy_0;energy_45;energy_90;energy_135;label
25;1,34696E+15;1,36678E+15;1,3092E+16;1,40021E+16;5,98242E+12;6,15059E+15;6,25724E+14;5,85855E+15;1,10424E+16;1,05826E+16;1,11213E+16;1,01056E+15;5,68926E+15;5,39832E+15;5,21932E+15;5,79061E+15;4,89662E+15;4,87614E+16;5,03571E+14;4,74322E+16;2,21283E+16;2,2082E+16;2,24404E+16;2,17789E+15;basal
26;6,15186E+15;6,93999E+15;6,99743E+15;7,06969E+14;7,47866E+15;6,85427E+15;6,88361E+15;6,87401E+15;1,69287E+15;1,50479E+16;1,46277E+16;1,40164E+16;6,86392E+15;8,64306E+15;8,63703E+15;8,60468E+15;1,20936E+16;1,10687E+16;1,06346E+16;1,05927E+15;3,47759E+16;3,32697E+15;3,26107E+16;3,25465E+15;basal
27;9,58933E+15;1,111E+16;8,97271E+14;8,36752E+15;8,69737E+15;8,17208E+15;8,69489E+13;8,94488E+15;1,127E+16;1,04078E+16;1,25795E+16;1,26824E+16;1,77347E+15;2,38679E+16;1,67014E+15;1,37437E+16;4,88047E+16;4,44564E+15;5,28286E+15;5,45484E+15;2,20918E+16;2,10847E+16;2,29845E+15;2,33556E+16;basal
28;5,51621E+15;6,37764E+15;6,14414E+15;5,70672E+14;7,23309E+15;6,36259E+15;6,52035E+15;7,13777E+14;2,41986E+16;2,35087E+15;2,3198E+16;2,29333E+16;9,25228E+15;1,25413E+16;1,18044E+16;9,86788E+14;4,27811E+15;3,92742E+15;3,89638E+16;3,97984E+15;6,54073E+15;6,26691E+15;6,2421E+16;6,3086E+15;basal
29;6,21151E+15;6,31837E+15;5,72371E+15;6,15067E+16;4,71271E+13;4,3393E+16;5,21958E+15;4,68576E+16;1,85067E+15;1,79931E+16;1,9583E+16;1,81023E+16;8,50146E+15;8,65302E+15;7,2036E+14;8,10618E+15;2,21322E+15;2,17467E+16;2,36392E+15;2,21781E+15;4,70449E+14;4,66334E+15;4,86201E+16;4,70936E+15;basal
30;6,88954E+15;7,37691E+15;6902;7,53257E+15;8,0471E+14;7,69311E+15;8,05111E+15;7,71926E+15;1,52259E+16;1,4057E+16;1,52629E+15;1,34148E+16;9,16365E+15;1,04855E+16;9,27566E+14;1,04013E+16;1,01421E+15;1,01219E+16;1,02506E+16;9,75863E+15;3,18467E+16;3,18149E+15;3,20166E+15;3,12388E+16;basal
31;1,20547E+16;1,29893E+16;1,15821E+16;1,29162E+15;7,7378E+15;7,60811E+15;8,01924E+15;7,47265E+14;9,9936E+15;8,73457E+15;9,86853E+15;9,19879E+15;2,86816E+14;3,0673E+16;2,50043E+16;3,23759E+15;4,93188E+15;4,6695E+15;5,23959E+15;4,86753E+16;2,22078E+16;2,1609E+16;2,28902E+16;2,20625E+15;basal
32;7,71733E+15;9,87119E+15;9,28971E+14;8,52802E+15;8,92649E+15;8,36981E+15;8,55903E+14;8,74566E+15;1,49126E+15;1,08079E+16;1,16621E+16;1,35303E+16;1,20952E+16;1,83014E+15;1,58629E+16;1,40393E+14;7,21945E+15;5,36949E+15;5,64592E+15;6,48695E+15;2,6869E+15;2,31722E+16;2,37611E+14;2,54695E+15;basal
33;6,25698E+15;6,60006E+16;6,01586E+15;6,25411E+15;4,94497E+15;4,4819E+15;5,53881E+15;5,05468E+15;1,65774E+16;1,6149E+16;1,78526E+16;1,66104E+16;9,83976E+14;1,07573E+16;9,09741E+15;9,6135E+14;1,70653E+16;1,65273E+16;1,69162E+16;1,68856E+16;4,13102E+16;4,06538E+16;4,11293E+15;4,10921E+15;basal
34;9,04309E+15;9,86664E+15;9,57971E+14;9,70349E+13;8,42942E+15;8,19147E+14;8,30758E+15;8,18708E+15;1,18771E+16;1,05264E+16;1,07868E+16;1,09718E+16;1,51827E+16;1,77969E+16;1,65028E+16;1,78882E+16;7,42737E+15;6,76161E+15;6,98092E+15;6,92639E+15;2,72532E+16;2,60031E+16;2,64214E+16;2,6318E+15;basal
35;5,63312E+14;6,20114E+15;5,93814E+15;6,06719E+15;7,71951E+15;7,32931E+15;7,64558E+15;7,43387E+15;1,7844E+16;1,58708E+16;1,70238E+16;1,65123E+15;6,05777E+15;7,13722E+15;6,66767E+15;6,87482E+15;1,74348E+16;1,60767E+16;1,61944E+15;1,64053E+15;4,1755E+14;4,00958E+15;4,02423E+15;4,05035E+15;basal
36;6,83691E+16;7,71053E+15;7,52714E+15;7,2167E+15;8,30739E+14;7,98778E+15;8,1067E+15;8,06519E+15;1,49627E+16;1,242E+16;1,29515E+16;1,41635E+14;8,79193E+15;1,00106E+16;9,53363E+15;9,56768E+15;7,33804E+14;6,6288E+15;6,66745E+15;7,13378E+15;2,70888E+15;2,57465E+16;2,58214E+16;2,67091E+16;basal
37;1,10077E+16;1,22369E+16;1,17466E+16;1,25023E+16;6,54588E+15;5,86999E+14;6,39793E+15;6,17719E+15;1,52777E+16;1,27863E+16;1,18895E+16;1,09673E+16;2,82819E+15;3,47673E+15;3,02745E+16;3,21437E+15;1,04835E+16;9,04906E+15;8,39388E+15;8,11434E+15;3,23782E+15;3,00817E+16;2,89722E+16;2,84857E+16;basal
38;7,91228E+15;9,17914E+14;8,541E+15;8,55692E+14;9,05654E+15;8,76096E+15;8,94282E+15;8,9864E+14;1,40554E+15;1,18214E+16;1,33416E+16;1,31151E+15;1,21268E+16;1,62167E+16;1,40157E+16;1,32521E+15;5,21839E+15;4,73644E+16;5,4299E+15;5,13584E+14;2,28438E+15;2,17634E+16;2,33021E+16;2,26624E+16;basal
39;9,69067E+15;1,10979E+16;1,03604E+16;1,04409E+15;8,11568E+15;7,67316E+15;7,93463E+15;7,83237E+15;1,23153E+16;1,0811E+16;1,10086E+16;1,17604E+16;2,1673E+16;2,73438E+16;2,39562E+16;2,54349E+16;6,10334E+15;5,33193E+15;5,61969E+15;5,58E+14;2,47049E+16;2,3091E+16;2,37059E+16;2,3622E+16;basal
40;9,27439E+15;9,6429E+14;8,36057E+15;9,11532E+15;7,50458E+15;7,38408E+15;7,92049E+15;7,56454E+15;1,28239E+15;1,24316E+16;1,39852E+16;1,29696E+15;1,79435E+16;1,9271E+16;1,52153E+16;1,79363E+16;8,06914E+14;7,87875E+15;8,82847E+15;8,20443E+15;2,84062E+16;2,80691E+16;2,97127E+15;2,86434E+16;basal
41;6,71004E+15;7,1363E+15;7,22729E+15;7,77201E+14;8,42757E+15;8,16949E+14;8,25422E+15;7,99199E+15;1,46023E+16;1,46027E+16;1,3326E+15;1,24847E+16;8,24793E+15;9,53077E+15;9,39367E+15;1,04634E+16;8,28326E+14;7,93892E+15;7,8849E+15;7,47053E+15;2,87807E+16;2,81761E+15;2,80801E+16;2,73323E+16;basal
42;8,77277E+15;9,53374E+15;9,136E+14;9,32409E+14;7,76197E+15;7,2397E+15;7,40824E+15;7,23951E+15;1,13575E+16;1,14773E+16;1,15705E+16;1,13101E+16;1,28651E+15;1,55504E+15;1,47637E+15;1,55757E+16;5,39962E+14;5,23227E+15;5,3498E+15;5,25778E+15;2,32371E+16;2,28742E+16;2,31296E+16;2,29298E+15;basal
